doctor_id,doctor_name,specialty,territory_id,assigned_rep_id,years_in_practice,patient_volume_monthly,baseline_rx_potential,loyalty_to_competitor,is_untapped_target,defection_month
D0001,Dr. Patricia Khan,Diabetologist,T09,R048,32,77,42,False,False,
D0002,Dr. Anjali Kapoor,Diabetologist,T05,R026,4,97,43,True,False,
D0003,Dr. Jennifer Singh,Diabetologist,T05,R025,15,137,25,False,False,
D0004,Dr. Rohan Singh,Internal Medicine,T09,R048,11,192,14,False,False,
D0005,Dr. Robert Patel,Endocrinologist,T07,R037,31,120,20,False,False,
D0006,Dr. Suresh Smith,General Physician,T02,R012,25,169,28,False,False,
D0007,Dr. Meera Nair,General Physician,T07,R037,33,44,37,True,False,
D0008,Dr. James Rao,Endocrinologist,T10,R050,18,114,33,True,False,
D0009,Dr. Meera Bose,General Physician,T03,R013,32,117,32,False,False,
D0010,Dr. Karan Menon,Endocrinologist,T09,R048,24,106,22,False,False,
D0011,Dr. Divya Sharma,Endocrinologist,T06,R032,14,88,41,False,False,
D0012,Dr. Pooja Verma,Diabetologist,T07,R036,1,39,17,False,False,
D0013,Dr. Meera Rao,Diabetologist,T04,R022,26,62,19,True,False,
D0014,Dr. Suresh Verma,General Physician,T01,R001,3,83,28,False,False,
D0015,Dr. Karan Chen,Diabetologist,T01,R004,29,103,36,False,True,
D0016,Dr. Ravi Verma,Diabetologist,T07,R037,10,64,32,True,False,
D0017,Dr. Arjun Smith,Internal Medicine,T10,R050,7,89,33,True,False,
D0018,Dr. John Smith,Endocrinologist,T07,R037,22,85,21,False,False,
D0019,Dr. Kavya Smith,Diabetologist,T04,R023,33,86,40,False,False,
D0020,Dr. Priya Reddy,General Physician,T08,R045,24,91,10,False,False,
D0021,Dr. Meera Gupta,Endocrinologist,T10,R052,4,110,20,True,False,
D0022,Dr. Pooja Gupta,Diabetologist,T03,R014,11,80,15,True,False,
D0023,Dr. Nikhil Kim,Diabetologist,T02,R008,23,85,16,True,False,
D0024,Dr. Jennifer Smith,General Physician,T10,R052,7,65,32,False,False,
D0025,Dr. Arjun Kim,Diabetologist,T01,R004,9,78,37,False,True,
