rep_id,rep_name,territory_id,effectiveness_multiplier
R001,Meera Nair,T01,0.96
R002,Pooja Kapoor,T01,1.05
R003,Meera Menon,T01,1.17
R004,Kavita Verma,T01,0.94
R005,Divya Sharma,T02,0.87
R006,Amit Bose,T02,1.04
R007,Vikram Gupta,T02,1.06
R008,Aditi Iyer,T02,0.85
R009,Meera Reddy,T02,0.93
R010,Sanjay Verma,T02,0.56
R011,Karan Kapoor,T02,1.2
R012,Rohan Rao,T02,1.11
R013,Meera Kapoor,T03,0.49
R014,Sanjay Menon,T03,0.99
R015,Pooja Nair,T03,0.45
R016,Arjun Reddy,T03,0.55
R017,Divya Menon,T03,1.09
R018,Ritu Verma,T03,1.12
R019,Rohan Reddy,T03,0.95
R020,Ritu Iyer,T03,0.59
R021,Divya Malhotra,T04,0.97
R022,Kavita Malhotra,T04,0.9
R023,Ritu Kapoor,T04,1.21
R024,Amit Bose,T05,0.4
R025,Arjun Malhotra,T05,0.92
R026,Rohan Reddy,T05,1.08
R027,Meera Sharma,T05,0.95
R028,Amit Kapoor,T05,1.04
R029,Rohan Sharma,T06,1.15
R030,Nikhil Verma,T06,0.86
R031,Meera Gupta,T06,1.11
R032,Sanjay Reddy,T06,1.2
R033,Kavita Reddy,T06,1.12
R034,Amit Malhotra,T06,1.16
R035,Vikram Sharma,T06,0.58
R036,Sanjay Verma,T07,1.17
R037,Ritu Sharma,T07,1.18
R038,Ritu Kapoor,T07,1.17
R039,Simran Iyer,T08,0.94
R040,Arjun Reddy,T08,0.92
R041,Ritu Reddy,T08,1.08
R042,Simran Gupta,T08,1.23
R043,Ritu Kapoor,T08,1.06
R044,Pooja Kapoor,T08,1.15
R045,Neha Reddy,T08,1.2
R046,Simran Gupta,T09,0.88
R047,Meera Nair,T09,1.23
R048,Vikram Rao,T09,1.12
R049,Vikram Nair,T10,1.24
R050,Karan Sharma,T10,0.93
R051,Kavita Malhotra,T10,1.22
R052,Nikhil Gupta,T10,0.5
R053,Arjun Nair,T10,1.11
